Species,Species.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,First.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Oxytropis lambertii,Oxytropis lambertii,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,569,1,wfo-0000168316,urn:lsid:ipni.org:names:179616-2,14639,Oxytropis lambertii,species,wfo-4000027605,Pursh,Fabaceae,,,NA,Oxytropis,,lambertii,,species,Valid,Fl. Amer. Sept.2: 740 (1813),Accepted,,,NA,Source in seed data: ildis More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-14639 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/ild-14639 >The Plant List v.1.0</a>,https://www.legumedata.org/taxonomy/taxon/387954,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-14639,,FALSE,,,
Descurainia sophioides,Descurainia sophioides,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,570,1,wfo-0000641998,urn:lsid:ipni.org:names:78250-2,891461,Descurainia sophioides,species,wfo-4000011184,(Fisch.) O.E.Schulz,Brassicaceae,,,NA,Descurainia,,sophioides,,species,Valid,"Pflanzenr. , IV, 105(86): 316 (1924)",Accepted,,wfo-0000431923,NA,"Source in seed data: cmp Updated scientificnameAuthorship from (Fisch. ex Hook.) O.E.Schulz to (Fisch.) O.E.Schulz, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew",http://www.theplantlist.org/tpl1.1/record/kew-2761853,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2761853,,FALSE,,,
Onuris graminifolia,Onuris graminifolia,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,571,1,wfo-0000386617,urn:lsid:ipni.org:names:287856-1,531880,Onuris graminifolia,species,wfo-4000026895,Phil.,Brassicaceae,,,NA,Onuris,,graminifolia,,species,Valid,Anales Univ. Chile 41: 675 (1872),Accepted,,,NA,"Source in seed data: cmp Update namepublishedIn from Anales Univ. Chile 41: 675 1872  to Anales Univ. Chile 41: 675 (1872), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re",http://www.theplantlist.org/tpl1.1/record/kew-2393323,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2393323,,FALSE,,,
Mimosa pudica,Mimosa pudica,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,572,1,wfo-0000165372,urn:lsid:ipni.org:names:313242-2,118,Mimosa pudica,species,wfo-4000024328,L.,Fabaceae,,,NA,Mimosa,,pudica,,species,Valid,Sp. Pl.: 518 (1753),Accepted,,,NA,"Source in seed data: ildis Update namepublishedIn from  to Sp. Pl. : 518 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-118 >The Plant List v.1.1.</a> Ori",https://www.legumedata.org/taxonomy/taxon/373711,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-118,,FALSE,,,
Quercus rubra,Quercus rubra,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,573,1,wfo-0000293006,urn:lsid:ipni.org:names:296701-1,174902,Quercus rubra,species,wfo-1000040900,L.,Fagaceae,,,NA,Quercus,Quercus,rubra,,species,Valid,Sp. Pl. : 996 (1753),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 996 1753  to Sp. Pl. : 996 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-174902 >The Plant L",http://www.theplantlist.org/tpl1.1/record/kew-174902,The Fagaceae TEN,A,kew-174902,,FALSE,,,
Lithocarpus henryi,Lithocarpus henryi,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,574,1,wfo-0000229969,urn:lsid:ipni.org:names:358790-1,114522,Lithocarpus henryi,species,wfo-4000021973,Rehder & E.H.Wilson,Fagaceae,,,NA,Lithocarpus,,henryi,,species,Valid,Pl. Wilson. 3: 209 (1916),Accepted,,wfo-0000291090,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Seemen) Rehder & E.H.Wilson to Rehder & E.H.Wilson, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew",http://www.theplantlist.org/tpl1.1/record/kew-114522,The Fagaceae TEN,A,kew-114522,,FALSE,,,
Setaria lachnea,Setaria lachnea,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,575,1,wfo-0000899312,urn:lsid:ipni.org:names:421630-1,442481,Setaria lachnea,species,wfo-4000035199,Kunth,Poaceae,,,NA,Setaria,,lachnea,,species,Valid,Enum. Pl. 1: 154 (1833),Accepted,,wfo-0000884801,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Nees) Kunth to Kunth, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-442481 >The Plant List v.1.1.",http://www.theplantlist.org/tpl1.1/record/kew-442481,The Poaceae TEN,A,kew-442481,,FALSE,,,
Comandra umbellata,Comandra umbellata,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,576,1,wfo-0000615918,urn:lsid:ipni.org:names:780112-1,862545,Comandra umbellata,species,wfo-4000009012,(L.) Nutt.,Santalaceae,,,NA,Comandra,,umbellata,,species,Valid,Gen. N. Amer. Pl. 1: 157 (1818),Accepted,,,NA,"Source in seed data: cmp Update namepublishedIn from Gen. N. Amer. Pl. 1: 157 1818  to Gen. N. Amer. Pl. 1: 157 (1818), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record",http://www.theplantlist.org/tpl1.1/record/kew-2732240,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2732240,,FALSE,,,
Eragrostis racemosa,Eragrostis racemosa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,577,1,wfo-0000868336,urn:lsid:ipni.org:names:401494-1,413109,Eragrostis racemosa,species,wfo-4000013668,Steud.,Poaceae,,,NA,Eragrostis,,racemosa,,species,Valid,Syn. Pl. Glumac. 1(3): 271. 1854 [1855 publ. 12-13 Apr 1854],Accepted,,wfo-0000893569,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Thunb.) Steud. to Steud., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-413109 >The Plant List v.",http://www.theplantlist.org/tpl1.1/record/kew-413109,The Poaceae TEN,A,kew-413109,,FALSE,,,
Lolium multiflorum,Lolium multiflorum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,578,1,wfo-0000878425,urn:lsid:ipni.org:names:407489-1,422833,Lolium multiflorum,species,wfo-4000022095,Lam.,Poaceae,,,NA,Lolium,,multiflorum,,species,Valid,Fl. Franç. (Lamarck) 3: 621. 1779 [1778 publ. after 21 Mar 1779],Accepted,,,NA,"Source in seed data: wcs Updated namepublishedIn from Fl. Franç. 3: 621 1778  to Fl. Franç. (Lamarck) 3: 621. 1779 [1778 publ. after 21 Mar 1779] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.",http://www.theplantlist.org/tpl1.1/record/kew-422833,The Poaceae TEN,A,kew-422833,,FALSE,,,
